timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778857687032,2290,05 execTestLoop,200,OK,Thread Group 1-215,text,true,,12949,1609,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1984,0,0
1778857688595,758,10 doLogout,200,OK,Thread Group 1-179,text,true,,872,405,52,52,http://192.168.27.1/tcexam/public/code/tce_logout.php,758,0,0
1778857687640,1815,05 execTestLoop,200,OK,Thread Group 1-188,text,true,,12857,1596,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1589,0,0
1778857687374,2145,05 execTestLoop,200,OK,Thread Group 1-210,text,true,,12862,1497,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1971,0,0
1778857689040,613,10 doLogout,200,OK,Thread Group 1-178,text,true,,872,393,52,52,http://192.168.27.1/tcexam/public/code/tce_logout.php,613,0,0
1778857688806,931,03 showTestInfo,200,OK,Thread Group 1-222,text,true,,9582,413,52,52,http://192.168.27.1/tcexam/public/code/tce_test_start.php?testid=15,803,0,0
1778857687548,2214,05 execTestLoop,200,OK,Thread Group 1-194,text,true,,12860,1523,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1959,0,0
1778857687560,2310,05 execTestLoop,200,OK,Thread Group 1-186,text,true,,12862,1531,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,2171,0,1
1778857687679,2212,05 execTestLoop,200,OK,Thread Group 1-200,text,true,,12861,1575,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,2024,0,0
1778857685025,4909,04 execTest,200,OK,Thread Group 1-218,text,true,,12892,407,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php?testid=18,4710,0,0
1778857687816,2119,05 execTestLoop,200,OK,Thread Group 1-202,text,true,,12855,1601,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1885,0,0
1778857687845,2096,05 execTestLoop,200,OK,Thread Group 1-207,text,true,,12860,1536,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1814,0,0
1778857687316,2668,01 doLogin,200,OK,Thread Group 1-226,text,true,,12045,1203,52,52,http://192.168.27.1/tcexam/public/code/index.php,786,0,0
1778857687316,786,01 doLogin-0,302,Found,Thread Group 1-226,text,true,,964,967,52,52,http://192.168.27.1/tcexam/public/code/index.php,786,0,0
1778857688102,1882,01 doLogin-1,200,OK,Thread Group 1-226,text,true,,11081,236,52,52,http://192.168.27.1/tcexam/public/code/index.php,1667,0,0
1778857687689,2440,05 execTestLoop,200,OK,Thread Group 1-205,text,true,,12865,1562,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,2198,0,0
1778857689442,927,03 showTestInfo,200,OK,Thread Group 1-223,text,true,,9582,403,52,52,http://192.168.27.1/tcexam/public/code/tce_test_start.php?testid=15,689,0,0
1778857688137,2241,05 execTestLoop,200,OK,Thread Group 1-192,text,true,,12851,1536,52,52,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1989,0,0
1778857689907,584,10 doLogout,200,OK,Thread Group 1-181,text,true,,872,403,53,53,http://192.168.27.1/tcexam/public/code/tce_logout.php,584,0,0
1778857688979,1646,02 getTestID,200,OK,Thread Group 1-225,text,true,,11167,400,53,53,http://192.168.27.1/tcexam/public/code/index.php,1448,0,0
1778857688687,1986,07 terminateTest,200,OK,Thread Group 1-185,text,true,,6492,1636,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1986,0,0
1778857688651,2086,05 execTestLoop,200,OK,Thread Group 1-204,text,true,,12856,1562,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1723,0,0
1778857688871,1875,05 execTestLoop,200,OK,Thread Group 1-211,text,true,,12945,1575,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1631,0,0
1778857688753,2081,05 execTestLoop,200,OK,Thread Group 1-217,text,true,,12871,1492,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1937,0,0
1778857688889,1948,09 showTestList,200,OK,Thread Group 1-182,text,true,,10907,388,53,53,http://192.168.27.1/tcexam/public/code/index.php,1809,0,0
1778857688959,1923,05 execTestLoop,200,OK,Thread Group 1-208,text,true,,12945,1601,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1712,0,0
1778857688665,2244,05 execTestLoop,200,OK,Thread Group 1-193,text,true,,12934,1562,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,2041,0,0
1778857688995,1927,05 execTestLoop,200,OK,Thread Group 1-216,text,true,,12866,1518,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1777,0,0
1778857688570,2352,05 execTestLoop,200,OK,Thread Group 1-199,text,true,,12936,1562,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,2193,0,0
1778857687931,2994,08 forceTerminateTest,200,OK,Thread Group 1-180,text,true,,11630,1477,53,53,http://192.168.27.1/tcexam/public/code/index.php,1250,0,0
1778857687931,1250,08 forceTerminateTest-0,302,Found,Thread Group 1-180,text,true,,724,1241,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1250,0,0
1778857689182,1743,08 forceTerminateTest-1,200,OK,Thread Group 1-180,text,true,,10906,236,53,53,http://192.168.27.1/tcexam/public/code/index.php,1543,0,0
1778857690349,781,00 getLoginPage,200,OK,Thread Group 1-229,text,true,,9201,463,53,53,http://192.168.27.1/tcexam/public/code/,5,0,1
1778857690349,5,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-229,text,true,,623,302,53,53,http://192.168.27.1/tcexam/public/code,5,0,1
1778857690354,776,00 getLoginPage-1,200,OK,Thread Group 1-229,text,true,,8578,161,53,53,http://192.168.27.1/tcexam/public/code/,775,0,0
1778857689242,1989,05 execTestLoop,200,OK,Thread Group 1-190,text,true,,12859,1479,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1811,0,0
1778857690060,1546,07 terminateTest,200,OK,Thread Group 1-184,text,true,,6490,1636,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1546,0,0
1778857689698,1940,05 execTestLoop,200,OK,Thread Group 1-201,text,true,,12854,1497,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1754,0,0
1778857686711,4938,04 execTest,200,OK,Thread Group 1-219,text,true,,12968,413,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php?testid=17,4807,0,0
1778857689798,1892,05 execTestLoop,200,OK,Thread Group 1-212,text,true,,12864,1497,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1719,0,0
1778857690305,1475,07 terminateTest,200,OK,Thread Group 1-187,text,true,,6492,1622,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1475,0,1
